,Média,Desvio Padrão
train/box_loss,0.251278,0.003351338538554418
train/cls_loss,0.23717000000000002,0.009194359684067186
train/dfl_loss,0.828462,0.0037993644205314148
metrics/precision(B),0.8837779999999998,0.010678807049478906
metrics/recall(B),0.8847659999999999,0.020028640243411448
metrics/mAP50(B),0.9294399999999999,0.009221640309619547
metrics/mAP50-95(B),0.8945559999999999,0.009413523782303824
val/box_loss,0.26069200000000003,0.006104659695675106
