fold,best_val_loss,best_val_acc,best_val_precision,best_val_recall,best_val_f1,epochs_trained
1,0.02404412854521241,0.9930230832034439,0.9935191869735718,0.9946407675743103,0.9936213493347168,33
2,0.01987184969455728,0.9938395309136792,0.989867091178894,0.9938709139823914,0.9916597008705139,31
3,0.043029981157934556,0.992354513064133,0.9889430999755859,0.9903868436813354,0.9894818663597107,31
4,0.03387131311252782,0.9917606888361045,0.9900479912757874,0.9892732501029968,0.9895486831665039,28
5,0.031703128701585204,0.9930225653206651,0.9909209609031677,0.9892944097518921,0.989865779876709,24
