metric,mean,std
best_val_loss,0.11087963873379078,0.009162746003649355
best_val_acc,0.9663310770744129,0.0013610701006674815
best_val_precision,0.9568258285522461,0.003415814363307802
best_val_recall,0.9639489531517029,0.009088182172150275
best_val_f1,0.9584356546401978,0.0048005952865390646
epochs_trained,37.4,8.384509526501834
